video_link,spot_products,brand_name,spot_language,brand_parent_name,spot_description
https://d3npuic909260z.cloudfront.net/001/268/468/A7zK.mp4,Budweiser Budweiser,Budweiser,en,Anheuser-Busch,"Budweiser defines hard work as going the extra mile and paying attention to detail, like aging beer over beechwood, in the same way that horses pull carriages across duty plains."
https://d3npuic909260z.cloudfront.net/001/457/370/A8nQ.mp4,Stella Artois Limited-Edition Chalice,Stella Artois,en,Anheuser-Busch,"Stella Artois has created a spinning zoetrope of glasses that depict women of the developing world collecting water. Together with Matt Damon and Water.org,   Stella Artois is helping to provide access to clean water in hopes of ending the global water crisis."
https://d3npuic909260z.cloudfront.net/001/497/550/A96E.mp4,Bud Light Bud Light,Bud Light,es,Anheuser-Busch,"Una cerveza que es fácil de tomar tiene su proceso y eso toma tiempo. En cada etapa del proceso lo prueban los maestros cerveceros. Según Bud Light, eso siempre vale la pena para ti y tus amigos."
https://d3npuic909260z.cloudfront.net/001/497/749/A9Bi.mp4,Coors Light Silver Bullet,Coors Light,en,Molson Coors Brewing Company,Fans with Coors Light eagerly watch a womens basketball game from the sidelines. Coors Light encourages you to continue to push yourself until youre on the ceiling.
https://d3npuic909260z.cloudfront.net/001/497/783/A9gT.mp4,Coors Light Coors Light,Coors Light,es,Molson Coors Brewing Company,"Un hombre construye una parrilla y se esfuerza para cocinarle a toda su familia en una fiesta. Cuando termina, todos brindan por la cena que él ha preparado. Según Coors Light, la recompensa más grande es seguir la tradición."
https://d3npuic909260z.cloudfront.net/001/497/188/A9Oc.mp4,Henrys Hard Sparkling Lemon Lime,Henry's Hard Sparkling,en,Molson Coors Brewing Company,"Henrys Hard Soda shows off its lighter side with a fruit-flavored, spiked sparkling water. With low calories and and low carbs, Henrys Hard Sparkling is considered the ultra-light choice."
https://d3npuic909260z.cloudfront.net/001/497/196/A9qk.mp4,Henrys Hard Sparkling Passion Fruit,Henry's Hard Sparkling,en,Molson Coors Brewing Company,"Henrys Hard Sparkling is a lighter, low-carb variation of Henrys Hard Soda, described as a spiked sparkling water with fruit flavors like Passion Fruit and Lemon Lime."
https://d3npuic909260z.cloudfront.net/001/497/688/A9T8.mp4,BEST DAMN Brewing Co. Cream Soda | BEST DAMN Brewing Co. Root Beer,BEST DAMN Brewing Co.,en,NULL,"In the pub, a guy exclaims that he is so starving he could eat a horse. One of the black and white portraits among the wall full of old photographs pipes up to say that the word literally is improperly used. A correct example, he says, would be to say that BEST DAMN Brewing literally ages its Cream Soda with vanilla beans to give it a touch of sweetness. Sadly, a man on horseback in a nearby portrait says that he actually did have to eat his horse, and he apologizes to Buttercup, the horse in the picture."
https://d3npuic909260z.cloudfront.net/001/498/932/A9WN.mp4,Coors Light Coors Light,Coors Light,en,Molson Coors Brewing Company,"Cold matters to Coors Light. Thats why, the brand says, it lagers, filters and packages its beer cold so it tastes cool and crisp."
https://d3npuic909260z.cloudfront.net/001/499/181/A9Xr.mp4,Stella Artois Limited-Edition Chalice,Stella Artois,en,Anheuser-Busch,"Director Crystal Moselle talks about the making of Our Dream of Water, a documentary film highlighting the devastating effects of the global water crisis for those living in the developing world, specifically women. With support from National Geographic, Stella Artois and Water.org, Our Dream of Water will premiere on the National Geographic Channel in celebration of Water Month. Viewers can also help the cause by purchasing a limited edition Stella Artois chalice at NatGeo.com/StellaArtois, which will help Water.org provide five years of clean water to one individual."
https://d3npuic909260z.cloudfront.net/001/444/530/Aa4Y.mp4,Modelo Especial,Modelo,es,Constellation Brands,"La cerveza Modelo Especial fue creada en 1925 en el pueblo de Tacuba, México. Según Modelo, es la compañía de cerveza con más rápido crecimiento en los Estados Unidos."
https://d3npuic909260z.cloudfront.net/001/270/582/AAdU.mp4,Labatt Beer Blue,Labatt Beer,en,Anheuser-Busch,"ESPN sportscaster John Buccigross introduces the story of a sled hockey player who, despite normally being confined to a wheelchair, doesnt let boundaries get in the way of his love for hockey. John Buccigross and Labatt Blue support sled hockey."
https://d3npuic909260z.cloudfront.net/001/273/036/AAxP.mp4,Bud Light Bud Light,Bud Light,en,Anheuser-Busch,"Bud Light created a line of specially-designed cans for the 2015 NFL season. With a can for every NFL team, you can crack open a can of football while you watch the football games."
https://d3npuic909260z.cloudfront.net/001/313/404/Ab0F.mp4,NULL,Guinness,en,Diageo,"After being welcomed through the St. Jamess Gate entrance to the Guinness brewery in Dublin, Ireland, one is introduced to Ross Kidd, Sarah Fox and other brewers. They share what St. Patricks Day means to them as they encourage others to take it slow, drink like a brewer and respect the beer."
https://d3npuic909260z.cloudfront.net/001/339/377/ABD4.mp4,Smirnoff (Beer) Electric Berry Ice | Smirnoff (Beer) Electric Mandarin Ice,Smirnoff (Beer),en,Diageo,"Instagram star Baddiewinkle lays out her recipe for a fresh batch of heartbreak. As she flirtatiously gets down at a disco party, she says the key is to maintain a perfect balance between sweet and smooth, like the bottle of Smirnoff Ice she is holding in her hand."
https://d3npuic909260z.cloudfront.net/001/311/552/AbD5.mp4,Modelo Especial,Modelo,es,Constellation Brands,"Se ve a un hombre quien es dueño de un gimnasio. Le explica a su papa que no le va muy bien en el negocio. Después, se ve que recibe una donación de familiares para ayudarle con sus gastos. Todos celebran tomando cerveza Modelo Especial."
https://d3npuic909260z.cloudfront.net/001/339/317/ABDV.mp4,Bud Light Lime,Bud Light,en,Anheuser-Busch,"As a couple stands on a beach with the sun setting behind them, a narrator speaks on how it is only them out there. Occasionally, their friends arent too far off dancing and hanging out, but turning around just makes it two of them, again."
https://d3npuic909260z.cloudfront.net/001/311/085/Abf3.mp4,Modelo Especial,Modelo,es,Constellation Brands,NULL
https://d3npuic909260z.cloudfront.net/001/312/506/AbFp.mp4,Heineken Heineken,Heineken,es,Heineken International,"Al igual que a Benicio del Toro, Heineken tiene fama mundial siendo reconocido en 192 países. Mientras Benicio del Toro explica su fama, dos personas quieren tomar una foto con él. Al tomar la foto, irónicamente dicen el nombre de Antonio Banderas en vez del suyo."
https://d3npuic909260z.cloudfront.net/001/311/263/AbgH.mp4,Modelo Especial,Modelo,es,Constellation Brands,NULL
https://d3npuic909260z.cloudfront.net/001/339/181/ABGh.mp4,Heineken Light Heineken Light,Heineken Light,en,Heineken International,"Heineken brought in a lawyer to reject or substantiate wild claims made by Neil Patrick Harris. Heineken Light cant control peoples minds, but it might be the best light beer youve ever tasted."
https://d3npuic909260z.cloudfront.net/001/339/575/ABjw.mp4,Corona Extra Corona Extra,Corona Extra,es,Constellation Brands,"Un hombre le escribió una carta abierta a su sofá, donde le pide que no lo seduzca con sus almohadas porque él está bien explorando y celebrando el verano, que hasta las Coronas heladas se le antoja más que a su sofá."
https://d3npuic909260z.cloudfront.net/001/339/200/ABKo.mp4,Corona Extra Corona Extra,Corona Extra,es,Constellation Brands,Un hombre se despide de su querida alarma porque este verano él quiere alejarse de su agenda y del quedarse en casa; su plan es perderse en el sol y tomarse una Corona con la luna.
https://d3npuic909260z.cloudfront.net/001/339/473/ABll.mp4,Kona Brewing Company Big Wave Golden Ale | Kona Brewing Company Longboard Island Lager,Kona Brewing Company,en,NULL,"While his brother plays the ukulele, a man gives a message to those on the mainland. Some of us have trouble leaving work--even saying things like, This work wont finish itself. His message is that you can say that about anything. This food wont finish itself. That woman cant kiss herself and the Kona beer in front of them wont drink itself. You only have one life, they say, so dont blow it."
https://d3npuic909260z.cloudfront.net/001/339/474/ABlR.mp4,Kona Brewing Company Big Wave Golden Ale | Kona Brewing Company Longboard Island Lager,Kona Brewing Company,en,NULL,"These Hawaiian brothers, while enjoying a little ukulele and BBQ on the beach, share that they heard the mainland has a fear of missing out. Instead of trying to do so much, they recommend trying a little slow-mo with a cold Kona beer for no more FOMO. Dont blow it, they say -- You only get one life."
https://d3npuic909260z.cloudfront.net/001/339/309/ABp3.mp4,Stella Artois Stella Artois,Stella Artois,en,Anheuser-Busch,"Sebastian Artois, brewmaster and risk taker, recalls the true story of how he got his beer brewery. After discovering that a local brewery in town was being put up for auction, he makes the decision to pursue his passion for making beer. So, he sold all his possessions in order to raise enough money to purchase the brewery. Today, his last name is one of the most recognized beers in the world."
https://d3npuic909260z.cloudfront.net/001/312/255/AbsD.mp4,Bud Light Bud Light,Bud Light,en,Anheuser-Busch,"At a food truck event, the Bud Light Party representatives Amy Schumer and Seth Rogen and superdelegate Michael Pena--enjoy cuisine from all over the world while they talk about how diverse the Bud Light Party is. Schumer calls America a smorgasbord of cultures. They call the country a Korean taco of togetherness, an everything bagel of unity, and a a gumbo of coexistence. After exhausting a few more diverse-friendly taglines, they decide to give it up and just enjoy the food."
https://d3npuic909260z.cloudfront.net/001/339/947/ABuV.mp4,Modelo Chelada Especial,Modelo,es,Constellation Brands,"Modelo presenta la Chelada Especial, revelando la bebida fue hecha con la misma dedicación que se usa en un trabajo especial."
https://d3npuic909260z.cloudfront.net/001/312/730/Abx9.mp4,Heineken Heineken,Heineken,en,Heineken International,"Actor Benicio del Toro knows what its like to be world-famous just like Heineken, which is served in 192 countries. As del Toro sits in a restaurant, a few people sitting around him look over in recognition. A couple passing by outside pounds on the glass and gives him a thumbs up. In good spirits, he says this happens all the time and poses for a picture. When the couple takes it, however, they squeal, Its Antonio Banderas from the movies! which prompts Benicio to turn and stare, exasperated, at the camera. He is not Antonio Banderas, Heineken states, in addition to mentioning its not just another beer. The beer brand says, Theres more behind the star, which apparently is true for its star logo and even some movie stars!"
